2023-11-19 09:43:13,R_2Y3a0rHu2QpGqE9,Extremely difficult,Extremely difficult,Extremely difficult,Extremely difficult,Extremely difficult,Extremely dissatisfied,Extremely confusing,Kept running into the error that the conversation already exists 
2023-11-19 10:29:29,R_D67AcApr3dtrrmF,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely satisfied,Extremely intuitive,"The software is very straight forwards, making it very easy for the user which is good. For the job opportunities though, the layout could be a little better, as it could be a little more clean and easier for the user."
2023-11-19 10:30:21,R_1LYYILY0vy4FgaZ,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely satisfied,Somewhat intuitive,"Very easy to manage, simple and allows you to create conversations very quickly."
2023-11-19 10:30:27,R_UgcgKBHLu8YpTMd,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Somewhat satisfied,Somewhat intuitive,i really like the idea and look forward to using it in the future.
2023-11-19 10:31:30,R_2azy2M01ngK6QWW,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely dissatisfied,Extremely intuitive,nothing
2023-11-19 10:32:06,R_20S5Pmr96KcbWOV,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely satisfied,Extremely intuitive,
2023-11-19 10:33:50,R_2163jPDUP4AGojd,Somewhat easy,Extremely easy,Somewhat difficult,Extremely easy,Extremely easy,Extremely satisfied,Somewhat intuitive,When trying to make the conversation with the second and third user it wasn’t working and if I didn’t type fast enough then it would clear the conversation 
2023-11-19 10:33:56,R_1jv356lGb2tz7ZS,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely satisfied,Extremely intuitive,I like the simplicity of everything
2023-11-19 10:33:58,R_3oLMBncg5MQ3qNu,Somewhat difficult,Somewhat easy,Extremely difficult,Neither easy nor difficult,Extremely easy,Somewhat satisfied,Somewhat intuitive,The invite user to conversation was little buggy for me
2023-11-19 10:35:04,R_12kUv4U6aO3S7ko,Extremely easy,Somewhat easy,Extremely easy,Somewhat easy,Extremely easy,Extremely satisfied,Extremely intuitive,
2023-11-19 10:35:37,R_3LYEpUWQrudtwk8,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat satisfied,Somewhat intuitive,Conversations moved in order.
2023-11-19 10:36:58,R_XXwbvespJOytj69,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Extremely easy,Extremely satisfied,Extremely intuitive,"When creating a conversation from the job opportunities page, may want to have that conversation labeled with the job/company"
2023-11-19 10:38:06,R_2uQJWBbkGkOROp2,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely satisfied,Extremely intuitive,
2023-11-19 10:38:24,R_3qD0RBFplc70JKP,Somewhat easy,Somewhat difficult,Somewhat difficult,Somewhat easy,Extremely easy,Neither satisfied nor dissatisfied,Somewhat confusing,The add user to a conversation chain is kind of glitchy and doesn't tell us if the user has accepted the invite
2023-11-19 10:39:37,R_2qfLyALwWrjTbMC,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely satisfied,Extremely intuitive,I really enjoyed using the app and the interface is easy to use. I would love if the website had a few photos of alumni and students playing football.
2023-11-19 10:40:06,R_1ezA1D1TA4DqlGn,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Somewhat satisfied,Extremely intuitive,"I like it guys this is good. Easy to use, very intuitive."
2023-11-19 10:40:20,R_1Qu9aVDhRAcRTE1,Somewhat easy,Extremely easy,Somewhat easy,Extremely easy,Extremely easy,Extremely satisfied,Somewhat intuitive,I think the website is very easy to use 
2023-11-19 10:40:43,R_3EbA2PFVkCq4uyP,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely satisfied,Extremely intuitive,"Worked great, easy to use, and definitely looks effective. "
2023-11-19 10:41:42,R_25zRHnJN9x9B8Kl,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely satisfied,Extremely intuitive,
2023-11-19 10:42:37,R_BR1iZcBUMW3b7wd,Neither easy nor difficult,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Extremely satisfied,Somewhat intuitive,
2023-11-19 10:42:39,R_1l01ZpSuQ6fqPQo,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Extremely satisfied,Extremely intuitive,The title on the job “software engineer internship was overlapping
2023-11-19 10:43:07,R_2rUvkUJaj8FQua6,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely satisfied,Extremely intuitive,
